"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 13 09:14:36 MSK 2023","Sun Aug 13 09:14:36 MSK 2023","9","","kinopoisk website: As a user, I can see movies","","","","Then I should see page",""
"passed","Sun Aug 13 09:14:44 MSK 2023","Sun Aug 13 09:14:44 MSK 2023","2","","kinopoisk website: As a user, I can log into the account","","","","",""
"passed","Sun Aug 13 09:14:38 MSK 2023","Sun Aug 13 09:14:38 MSK 2023","8","","kinopoisk website: As a user, I can will see error if I dont input login","","","","Then I should see an error",""
"passed","Sun Aug 13 09:14:32 MSK 2023","Sun Aug 13 09:14:36 MSK 2023","4549","","kinopoisk website: As a user, I can see movies","","","","When I click button",""
"passed","Sun Aug 13 09:14:39 MSK 2023","Sun Aug 13 09:14:39 MSK 2023","513","","kinopoisk website: As a user, I can log into the account","","","","Given I am on the login page",""
"passed","Sun Aug 13 09:14:38 MSK 2023","Sun Aug 13 09:14:38 MSK 2023","142","","kinopoisk website: As a user, I can will see error if I dont input login","","","","When I click login",""
"passed","Sun Aug 13 09:14:41 MSK 2023","Sun Aug 13 09:14:44 MSK 2023","3048","","kinopoisk website: As a user, I can log into the account","","","","Then I should see an icon",""
"passed","Sun Aug 13 09:14:38 MSK 2023","Sun Aug 13 09:14:39 MSK 2023","884","","kinopoisk website: As a user, I can open help page","","","","Given I am on the help page",""
"passed","Sun Aug 13 09:14:36 MSK 2023","Sun Aug 13 09:14:36 MSK 2023","3","","kinopoisk website: As a user, I can see movies","","","","",""
"passed","Sun Aug 13 09:14:39 MSK 2023","Sun Aug 13 09:14:39 MSK 2023","2","","kinopoisk website: As a user, I can open help page","","","","",""
"passed","Sun Aug 13 09:14:31 MSK 2023","Sun Aug 13 09:14:32 MSK 2023","470","","kinopoisk website: As a user, I can see movies","","","","Given I am on the kinopoisk page",""
"passed","Sun Aug 13 09:14:39 MSK 2023","Sun Aug 13 09:14:39 MSK 2023","3","","kinopoisk website: As a user, I can open help page","","","","Then I should see help page about ticket",""
"passed","Sun Aug 13 09:14:39 MSK 2023","Sun Aug 13 09:14:39 MSK 2023","201","","kinopoisk website: As a user, I can open help page","","","","When I click ticket",""
"passed","Sun Aug 13 09:14:38 MSK 2023","Sun Aug 13 09:14:38 MSK 2023","1","","kinopoisk website: As a user, I can will see error if I dont input login","","","","",""
"passed","Sun Aug 13 09:14:36 MSK 2023","Sun Aug 13 09:14:38 MSK 2023","1490","","kinopoisk website: As a user, I can will see error if I dont input login","","","","Given I am on the login2 page",""
"passed","Sun Aug 13 09:14:39 MSK 2023","Sun Aug 13 09:14:41 MSK 2023","1276","","kinopoisk website: As a user, I can log into the account","","","","When I login with login and password",""
